item_name,category,ingredients,portion_g_ml,prep_time_min,cost_clp,shelf_life_hours,calories,protein_g,carbs_g,allergens,notes
Clásica,Burgers,"[""carne de vacuno (150g)"", ""pan brioche"", ""lechuga"", ""tomate"", ""cebolla"", ""queso cheddar"", ""mayonesa"", ""ketchup""]",350,12,4200,2,680,35,52,"[""gluten"", ""l\u00e1cteos"", ""huevo""]",Hamburguesa clásica con carne premium 100% vacuno
Mechada Avocado,Burgers,"[""carne mechada (180g)"", ""palta"", ""pan brioche"", ""lechuga"", ""tomate"", ""mayonesa casera""]",380,14,4800,2,745,38,54,"[""gluten"", ""l\u00e1cteos"", ""huevo""]",Carne mechada estilo chileno con palta Hass
Margarita,Pizzas,"[""masa artesanal (300g)"", ""salsa pomodoro"", ""mozzarella"", ""albahaca fresca"", ""aceite de oliva""]",450,18,3200,4,580,28,68,"[""gluten"", ""l\u00e1cteos""]",Pizza clásica italiana con ingredientes frescos
Pepperoni,Pizzas,"[""masa artesanal (300g)"", ""salsa pomodoro"", ""mozzarella"", ""pepperoni (80g)"", ""or\u00e9gano""]",480,18,3800,4,720,32,70,"[""gluten"", ""l\u00e1cteos""]",Pizza con pepperoni de cerdo ahumado
Cuatro Formaggi,Pizzas,"[""masa artesanal (300g)"", ""salsa blanca"", ""mozzarella"", ""parmesano"", ""gorgonzola"", ""queso de cabra""]",470,20,4800,4,820,38,66,"[""gluten"", ""l\u00e1cteos""]",Pizza gourmet con 4 quesos premium
Valenciano,Principales,"[""arroz (200g)"", ""mariscos mixtos (180g)"", ""chorizo"", ""piment\u00f3n"", ""azafr\u00e1n"", ""caldo de pescado""]",520,25,6200,3,620,42,78,"[""mariscos"", ""moluscos""]",Paella valenciana con mariscos frescos
Salmón Tando,Principales,"[""filete de salm\u00f3n (220g)"", ""salsa tando"", ""verduras salteadas"", ""arroz basmati""]",480,20,7200,2,580,48,42,"[""pescado"", ""s\u00e9samo"", ""soya""]",Salmón del Atlántico con marinado japonés
Filete Trifolatti,Principales,"[""filete lomo (250g)"", ""salsa trifolatti"", ""champi\u00f1ones"", ""papas r\u00fasticas"", ""verduras""]",550,22,9800,2,720,52,38,"[""l\u00e1cteos"", ""hongos""]",Filete premium con salsa de champiñones
Rocca Avocado,Principales,"[""pollo o carne (200g)"", ""palta"", ""r\u00facula"", ""tomates cherry"", ""parmesano"", ""vinagreta""]",420,18,8500,3,620,44,28,"[""l\u00e1cteos""]",Plato mediterráneo con palta y rúcula
Camarón a la Vista,Entradas,"[""camarones (150g)"", ""ajo"", ""perejil"", ""mantequilla"", ""vino blanco"", ""pan de ajo""]",220,15,5800,2,380,28,18,"[""mariscos"", ""gluten"", ""l\u00e1cteos""]",Camarones al ajillo estilo español
Arancini,Entradas,"[""arroz arborio (120g)"", ""mozzarella"", ""carne molida"", ""salsa pomodoro"", ""pan rallado""]",180,20,3800,4,420,18,48,"[""gluten"", ""l\u00e1cteos"", ""huevo""]",Croquetas sicilianas de arroz rellenas
Locos en su Emulsión,Entradas,"[""locos (200g)"", ""mayonesa emulsionada"", ""lim\u00f3n"", ""cilantro"", ""ajo""]",250,18,11500,1,320,32,8,"[""moluscos"", ""huevo""]",Manjar marino chileno con locos frescos
Tartar de Jaiba con Locos,Frío y Frescos,"[""jaiba (120g)"", ""locos (80g)"", ""palta"", ""cebolla morada"", ""cilantro"", ""lim\u00f3n""]",220,12,8900,1,280,24,12,"[""mariscos"", ""moluscos""]",Tartar de mariscos premium chilenos
Duo del Mar,Frío y Frescos,"[""salm\u00f3n fresco (100g)"", ""at\u00fan (100g)"", ""aguacate"", ""pepino"", ""salsa ponzu""]",280,10,7200,1,340,38,14,"[""pescado"", ""soya"", ""s\u00e9samo""]",Ceviche duo de pescados frescos
Volcán de Chocolate,Postres,"[""chocolate belga (80g)"", ""huevos"", ""mantequilla"", ""az\u00facar"", ""harina"", ""helado de vainilla""]",180,15,2100,6,520,8,58,"[""gluten"", ""l\u00e1cteos"", ""huevo""]",Coulant de chocolate con centro líquido
Pavlova (Papaya),Postres,"[""merengue (100g)"", ""crema chantilly"", ""papaya"", ""frutos rojos"", ""coulis de fruta""]",200,12,2000,4,380,4,62,"[""l\u00e1cteos"", ""huevo""]",Postre neozelandés con frutas tropicales
Tabla Estación,Tablas,"[""quesos variados (200g)"", ""jam\u00f3n serrano (150g)"", ""salames (100g)"", ""frutas"", ""frutos secos"", ""pan""]",650,8,14500,3,1240,58,68,"[""l\u00e1cteos"", ""gluten"", ""frutos secos""]",Tabla para compartir con selección premium
Jugo de Pulpa,Bebidas,"[""fruta natural (200g)"", ""agua"", ""az\u00facar opcional""]",350,5,800,4,120,1,28,[],Jugo natural de frutas de estación
Copa de Vino CS,Vinos,"[""vino Cab. Sauvignon (150ml)"", ""varietal chileno""]",150,2,1400,48,125,0,4,"[""sulfitos""]",Copa de vino Cabernet Sauvignon chileno
